	sch	sch_comment	wmo	wmo_comment	min_date	max_date	station
3089	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	58	AVK-BAR (Russian Federation)                	2012-12-31	2013-01-01	0-20000-0-31510
3099	VNt	VNt Vaisala RS92 DigiCORA III auto corr, ranging wind 31313=48003  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,W=T]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-30	2013-01-01	0-20000-0-94802
3104	V??	V?? exact type insufficiently documented	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-76644
3112	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	27	AVK-MRZ (Russian Federation)                	2012-12-31	2013-01-01	0-20000-0-25123
3113	VU3	VU3 Vaisala RS80-57H or RS80-57 1680 MHz RDF H-Humicap NWS radiosonde, pressure cell {1998} 31313=45202  (W3=52, T=039) (RDF, 1680+-3 MHz AM)	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-30	2013-01-01	0-20000-0-91413
3118	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-30	2013-01-01	0-20000-0-40706
3120	VU3	VU3 Vaisala RS80-57H or RS80-57 1680 MHz RDF H-Humicap NWS radiosonde, pressure cell {1998} 31313=45202  (W3=52, T=039) (RDF, 1680+-3 MHz AM)	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-91408
3121	C@	Mixed carbon and capacitive, capacitive models unknown (17030 and other Turkish stations)	117	Graw DFM-09 (Germany)                            	2012-12-31	2013-01-01	0-20000-0-17240
3130	VNl	VNl Vaisala RS92 DigiCORA III auto corr, LoRAN wind 31313=48006  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=L]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-12120
3137	ZK2	ZK2 VIZ or Sippican model 1492-540 NWS B2 J031-1 1680 MHz RDF {1997} 31313=05102  (W3=51,T=489) [F=T1680DL,P=Ac,T=TR (ML-405?),U=C,W=Da(ART-2)] NWS part	183	Vaisala RS92-D/Intermet IMS 1500 w/silicon capacitive   pressure sensor, capacitive wire   temperature sensor, twin thin-film heated   polymer capacitive relative humidity sensor   and RDF wind	2012-12-30	2013-01-02	0-20000-0-78970
3139	W__	W__ Wind only, method unspecified 	57	Modem M2K2-DC (France)                	2012-12-28	2013-01-02	0-20000-0-62423
3141	W__	W__ Wind only, method unspecified 	57	Modem M2K2-DC (France)                	2012-12-31	2013-01-01	0-20000-0-61687
3152	H9G	"H9G China Shanghai Radio Factory #23 GZZ-9, GZZ9, GTS1 1675 MHz, or ""Shang/E, L band radar"" (electronic) radiosonde {2002} 31313=63203 (132)  [F=T1675DL,"	132	Shanghai GTS1/GFE(L) (China)                            	2012-12-31	2013-01-01	0-20000-0-57127
3159	VN8	VN8 Vaisala RS92 Autosonde auto corr, GPS wind 31313=48108  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-25	2013-01-01	0-20000-0-94711
3160	V13	V13 Vaisala RS13 25 MHz radiosonde {1965}  (T=026) [F=T25,400,1680FR,P=Ac,T=BSc,U=Hrc]	57	Modem M2K2-DC (France)                	2012-12-30	2013-01-01	0-20000-0-40754
3161	VCG	VCG Vaisala RS80 DigiCORA I, II, or Marwin auto corr, GPS wind 31313=46108  [F=T403FL or 1680AL,P=Ac,T=CB,U=A,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-82917
3185	RPA	RPA Ukraine PAZA-12M with UL radiotheodolite {~2010} 31313=01503  (W3=115)	115	PAZA-12M/Radiotheodolite-UL (Ukraine)                             	2012-12-30	2013-01-01	0-20000-0-33837
3186	XXX	XXX Reject all obs with this station ID in this period  misidentified or erroneous observations which should be rejected	89	MARL-A or Vektor-M-BAR (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-32215
3202	M__	M__ Multiple instruments, use 31313 info   If 31313 is not present, apply no corrections.  (This instrument type should be assigned only when all or almost all observations	80	Vaisala RS92/Digicora III (Finland)               	2012-12-21	2013-01-02	0-20000-0-03743
3210	ZK2	ZK2 VIZ or Sippican model 1492-540 NWS B2 J031-1 1680 MHz RDF {1997} 31313=05102  (W3=51,T=489) [F=T1680DL,P=Ac,T=TR (ML-405?),U=C,W=Da(ART-2)] NWS part	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72776
3230	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	129	MARL-A or Vektor-M - AK2-02 (Russian Federation)                        	2012-12-30	2013-01-01	0-20000-0-28275
3235	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-30	2013-01-01	0-20000-0-04089
3249	???	??? Unknown instrument category because data is not available for checking 	117	Graw DFM-09 (Germany)                            	2012-12-31	2013-01-01	0-20000-0-76654
3257	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-20	2013-01-15	0-20000-0-78762
3260	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-24688
3264	???	??? Unknown instrument category because data is not available for checking 	117	Graw DFM-09 (Germany)                            	2012-12-30	2013-01-01	0-20000-0-76612
3270	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-71917
3290	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-31736
3302	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	128	AVK - AK2-02 (Russian Federation)                          	2012-12-31	2013-01-01	0-20000-0-32150
3303	VN8	VN8 Vaisala RS92 Autosonde auto corr, GPS wind 31313=48108  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-31	2013-01-01	0-20000-0-03354
3316	ZQl	ZQl Sippican 1543-611 MK II Microsonde 403 MHz NWS J032-1 LoRAN chip T, auto solar corr {~ 2003} 31313=58606  (W3=86) NWS part J032-1, NSN=NWS0-10-	111	Sippican LMS6 w/Chip Thermistor, external boom mounted capacitance relative   humidity sensor, and derived pressure from GPS   height          	2012-12-31	2013-01-01	0-20000-0-72402
3325	H9G	"H9G China Shanghai Radio Factory #23 GZZ-9, GZZ9, GTS1 1675 MHz, or ""Shang/E, L band radar"" (electronic) radiosonde {2002} 31313=63203 (132)  [F=T1675DL,"	132	Shanghai GTS1/GFE(L) (China)                            	2012-12-31	2013-01-01	0-20300-0-57679
3328	FGC	FGC France Geolink-Modem M2K2-DC 1680 MHz improved radiation protection {2006} 31313=45708  [F=T1680DL,P=0,T=TC,U=A,N=GC]	177	Modem GPSonde M10 (France)                           	2012-12-30	2013-01-01	0-20000-0-61980
3329	???	??? Unknown instrument category because data is not available for checking 	80	Vaisala RS92/Digicora III (Finland)               	2012-12-26	2013-01-02	0-20000-0-10954
3332	J9H	J9H Japan Meisei RSII-91 radiosonde, RH correction {200302} 31313=74702  (W3=47) [F=T1680FL,P=Ac,T=TR,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-47646
3334	J9H	J9H Japan Meisei RSII-91 radiosonde, RH correction {200302} 31313=74702  (W3=47) [F=T1680FL,P=Ac,T=TR,U=A]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-31	2013-01-01	0-20000-0-47600
3336	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	177	Modem GPSonde M10 (France)                           	2012-12-31	2013-01-01	0-20000-0-91592
3338	VN8	VN8 Vaisala RS92 Autosonde auto corr, GPS wind 31313=48108  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	130	Meisei RS-06G (Japan)                            	2012-12-31	2013-01-01	0-20000-0-47678
3353	VNt	VNt Vaisala RS92 DigiCORA III auto corr, ranging wind 31313=48003  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,W=T]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-30	2013-01-01	0-20000-0-94995
3355	???	??? Unknown instrument category because data is not available for checking 	117	Graw DFM-09 (Germany)                            	2012-12-29	2013-01-01	0-20000-0-76225
3356	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-30	2013-01-02	0-20000-0-88889
3359	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	2012-12-31	2013-01-01	0-20001-0-37011
3362	RPK	RPK Ukraine PAZA-22M with MARL-A radar {~2009} 31313=58803 or 31313=52716 or *48** 	27	AVK-MRZ (Russian Federation)                	2012-12-31	2013-01-01	0-20300-0-38341
3368	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-30	2013-01-01	0-20000-0-11240
3370	RHA	RHA Russia MRZ-3AK1 (previously MRZ* or BAR) 1780 MHz radiosonde with AVK {2004} 31313=55803  (W3=58) [F=T1780PL,P=0,T=TR(MMT-1),U=A(Honeywell HIH4000),W=Ta]	128	AVK - AK2-02 (Russian Federation)                          	2012-12-31	2013-01-01	0-20000-0-29282
3376	VN8	VN8 Vaisala RS92 Autosonde auto corr, GPS wind 31313=48108  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-31	2013-01-01	0-20000-0-10113
3383	H9G	"H9G China Shanghai Radio Factory #23 GZZ-9, GZZ9, GTS1 1675 MHz, or ""Shang/E, L band radar"" (electronic) radiosonde {2002} 31313=63203 (132)  [F=T1675DL,"	133	Nanjing GTS1-2/GFE(L) (China)                            	2012-12-31	2013-01-01	0-20001-0-50527
3391	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-40913
3401	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	27	AVK-MRZ (Russian Federation)                	2012-12-31	2013-01-01	0-20000-0-24726
3403	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	27	AVK-MRZ (Russian Federation)                	2012-12-31	2013-01-01	0-20000-0-31004
3411	RV7	RV7 Russia AVK-RF95-ARMA 1780 MHz Vaisala sensors radiosonde {1997} 31313=47603 auto corr  (W3=76) [F=T1780PL,P=0,T=Tc(Thermocap),U=A(A-Humicap),W=Ta]	128	AVK - AK2-02 (Russian Federation)                          	2012-12-31	2013-01-01	0-20000-0-22845
3420	VCR	VCR Vaisala RS80 DigiCORA I, II, or Marwin auto corr, RDF wind 31313=46102  [F=T403FL or 1680AL,P=Ac,T=CB,U=A,W=Ra]	61	Vaisala RS80/Loran/Digicora I, II or Marwin (Finland)            	2012-12-31	2013-01-01	0-20000-0-11747
3422	W_R	W_R exact type insufficiently documented	80	Vaisala RS92/Digicora III (Finland)               	2012-12-18	2013-01-17	0-20000-0-94750
3433	CR	[13|16] Australian Astor RS4	55	Meisei RS-01G (Japan)                	2012-12-31	2013-01-01	0-20000-0-97724
3440	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-94998
3442	M__	M__ Multiple instruments, use 31313 info   If 31313 is not present, apply no corrections.  (This instrument type should be assigned only when all or almost all observations	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-11520
3445	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	27	AVK-MRZ (Russian Federation)                	2012-12-31	2013-01-01	0-20000-0-27199
3447	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72357
3448	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	27	AVK-MRZ (Russian Federation)                	2012-12-31	2013-01-01	0-20000-0-21946
3450	80	Vaisala RS92/Digicora III (Finland)               	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-83827
3455	H9G	"H9G China Shanghai Radio Factory #23 GZZ-9, GZZ9, GTS1 1675 MHz, or ""Shang/E, L band radar"" (electronic) radiosonde {2002} 31313=63203 (132)  [F=T1675DL,"	132	Shanghai GTS1/GFE(L) (China)                            	2012-12-31	2013-01-01	0-20000-0-55299
3468	RZW	RZW Russia MRZ-3A radiosonde with MARL-A or Vektor-M phased-array radiotheodolite {2004} 31313=58803  (W3=88) [F=T1680PL,P=0,T=TR(MMT-1),U=G,W=Ta]	129	MARL-A or Vektor-M - AK2-02 (Russian Federation)                        	2012-12-31	2013-01-01	0-20000-0-20674
3474	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72251
3479	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-26781
3480	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72233
3482	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-30	2013-01-01	0-20000-0-89002
3484	VU3	VU3 Vaisala RS80-57H or RS80-57 1680 MHz RDF H-Humicap NWS radiosonde, pressure cell {1998} 31313=45202  (W3=52, T=039) (RDF, 1680+-3 MHz AM)	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72747
3487	J9H	J9H Japan Meisei RSII-91 radiosonde, RH correction {200302} 31313=74702  (W3=47) [F=T1680FL,P=Ac,T=TR,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-47401
3495	VU3	VU3 Vaisala RS80-57H or RS80-57 1680 MHz RDF H-Humicap NWS radiosonde, pressure cell {1998} 31313=45202  (W3=52, T=039) (RDF, 1680+-3 MHz AM)	51	VIZ-B2 (United States)                	2012-12-31	2013-01-01	0-20000-0-70133
3499	VNG	VNG Vaisala RS92 DigiCORA I, II, or Marwin auto corr, GPS wind 31313=47908  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-76679
3501	M__	M__ Multiple instruments, use 31313 info   If 31313 is not present, apply no corrections.  (This instrument type should be assigned only when all or almost all observations	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-06260
3509	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	89	MARL-A or Vektor-M-BAR (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-25703
3510	ZF1	ZF1 VIZ model 1192 NWS 1680 MHz, new hygristor duct {1970}  (T=411) [F=Vt1680AB,P=A,T=TR(ML-405),U=C,W=Da(WBRT or GMD-1)]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-30	2013-01-01	0-20000-0-87344
3528	RV7	RV7 Russia AVK-RF95-ARMA 1780 MHz Vaisala sensors radiosonde {1997} 31313=47603 auto corr  (W3=76) [F=T1780PL,P=0,T=Tc(Thermocap),U=A(A-Humicap),W=Ta]	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-22271
3533	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-30	2013-01-01	0-20000-0-40841
3536	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-10393
3539	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-03808
3543	Z4a	Z4a VIZ US Army AN/AMT-4D/F radiosonde {~1973}  [F=?1680PB]	21	VIZ/Jin Yang MARK I MICROSONDE (Republic of Korea)           	2012-12-31	2013-01-01	0-20000-0-47158
3545	VnG	VnG Vaisala RS92 DigiCORA I, II, or Marwin country corr, GPS wind 31313=67908  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-11035
3549	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	2012-12-31	2013-01-01	0-20001-0-37055
3559	W__	W__ Wind only, method unspecified 	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-82244
3563	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72318
3564	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-30758
3565	MVN	MVN Mixed Vaisala RS92 DigiCORA III LoRAN (VNl, 31313=48006) and RS80 LoRAN (VGL, 31313=46706), mostly VNl 	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-12374
3570	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-72469
3572	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	89	MARL-A or Vektor-M-BAR (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-28445
3576	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20001-0-71081
3578	VNG	VNG Vaisala RS92 DigiCORA I, II, or Marwin auto corr, GPS wind 31313=47908  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-30	2013-01-01	0-20000-0-08508
3581	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	2012-12-31	2013-01-01	0-20001-0-34467
3585	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20001-0-72662
3595	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	88	MARL-A or Vektor-M-MRZ (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-24266
3597	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-30	2013-01-01	0-20000-0-40848
3598	VNW	VNW Vaisala RS92-NGP with InterMet IMS 2000 for NWS {2011} 31313=45208 with BUFR code 152  [F=T1676-1682DL,P=Sc,T=Wc,U=2Ah,N=Gc]	152	Vaisala RS92-NGP/Intermet IMS-2000 (United States)                          	2012-12-31	2013-01-01	0-20000-0-91212
3604	129	MARL-A or Vektor-M - AK2-02 (Russian Federation)                        	129	MARL-A or Vektor-M - AK2-02 (Russian Federation)                        	2012-12-31	2013-01-01	0-20000-0-26072
3605	VNW	VNW Vaisala RS92-NGP with InterMet IMS 2000 for NWS {2011} 31313=45208 with BUFR code 152  [F=T1676-1682DL,P=Sc,T=Wc,U=2Ah,N=Gc]	152	Vaisala RS92-NGP/Intermet IMS-2000 (United States)                          	2012-12-31	2013-01-01	0-20000-0-70026
3610	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-74560
3613	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	81	Vaisala RS92/Autosonde (Finland)                	2012-12-31	2013-01-01	0-20001-0-10548
3614	V8A	V8A Vaisala RS80 A-Humicap unspecified model {1981} WMO instr=37  (assume W2=04 or 14, W3=37) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-12425
3616	V2_	V2_ Vaisala RS21 unspecified model {1974} WMO instr=36  (W3=36, T=037)	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-02	0-20000-0-40373
3617	ZK2	ZK2 VIZ or Sippican model 1492-540 NWS B2 J031-1 1680 MHz RDF {1997} 31313=05102  (W3=51,T=489) [F=T1680DL,P=Ac,T=TR (ML-405?),U=C,W=Da(ART-2)] NWS part	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-70308
3623	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-70361
3625	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	79	Vaisala RS92/Digicora I, II or Marwin (Finland)            	2012-12-30	2013-01-01	0-20000-0-08522
3629	RZ3	RZ3 Russia/USSR MRZ-3A 1780 MHz radiosonde {1986} 31313=52703 (moist)  (W3=27, T=233) [F=T1780PL,P=0,T=TR(MMT-1),U=G,W=Ta]	128	AVK - AK2-02 (Russian Federation)                          	2012-12-31	2013-01-01	0-20000-0-24908
3635	XXX	XXX Reject all obs with this station ID in this period  misidentified or erroneous observations which should be rejected	69	MARL-A or Vektor-M-RZM-2 (Russian Federation)              	2012-12-31	2013-01-01	0-20000-0-30673
3636	VU3	VU3 Vaisala RS80-57H or RS80-57 1680 MHz RDF H-Humicap NWS radiosonde, pressure cell {1998} 31313=45202  (W3=52, T=039) (RDF, 1680+-3 MHz AM)	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-70219
3647	VC_	VC_ Vaisala RS80 DigiCORA I, II, or Marwin base case 31313=96199  (W3=61) [F=T403FL or 1680AL,P=Ac,T=CB,U=A]	80	Vaisala RS92/Digicora III (Finland)               	2012-12-31	2013-01-01	0-20000-0-71908
3648	ZRg	ZRg Sippican 1649-540 NWS J031-2 MK IIA Microsonde 1680 MHz GPS chip T, with P {2003} 31313=58708  (W3=87) [F=T1680DL,P=Ac,T=TC,U=C,N=G] NWS part no.	87	Sippican MARK IIA with chip thermistor, pressure and carbon element         	2012-12-31	2013-01-01	0-20000-0-70398
3649	VNg	VNg Vaisala RS92 DigiCORA III auto corr, GPS wind 31313=48008  [F=T400-406DL,P=Sc,T=Wc,U=2Ah,N=G]	117	Graw DFM-09 (Germany)                            	2012-12-31	2013-01-01	0-20000-0-17281
